J       CT       CP       eta
0.087   0.0976   0.0402   0.211
0.109   0.0962   0.0406   0.257
0.129   0.0941   0.0406   0.300
0.153   0.0917   0.0409   0.343
0.173   0.0897   0.0410   0.378
0.198   0.0871   0.0412   0.418
0.221   0.0844   0.0412   0.453
0.242   0.0811   0.0409   0.480
0.265   0.0781   0.0407   0.508
0.283   0.0750   0.0401   0.529
0.304   0.0713   0.0395   0.548
0.327   0.0667   0.0384   0.568
0.350   0.0621   0.0373   0.583
0.370   0.0582   0.0361   0.597
0.393   0.0536   0.0347   0.608
0.413   0.0498   0.0334   0.616
0.436   0.0450   0.0315   0.623
0.463   0.0395   0.0294   0.622
0.479   0.0365   0.0282   0.619
0.501   0.0322   0.0265   0.610
0.522   0.0287   0.0251   0.599
0.545   0.0245   0.0231   0.579
0.567   0.0203   0.0211   0.546
0.593   0.0154   0.0187   0.490
0.612   0.0118   0.0167   0.435
0.637   0.0074   0.0143   0.328
0.657   0.0033   0.0120   0.183
0.681   -0.0013   0.0093   -0.096
0.702   -0.0055   0.0068   -0.575
