J       CT       CP       eta
0.087   0.1236   0.0592   0.182
0.108   0.1227   0.0597   0.222
0.129   0.1213   0.0600   0.261
0.153   0.1207   0.0609   0.303
0.176   0.1188   0.0612   0.342
0.195   0.1178   0.0616   0.372
0.223   0.1157   0.0623   0.414
0.242   0.1145   0.0627   0.441
0.264   0.1127   0.0632   0.471
0.286   0.1108   0.0636   0.497
0.309   0.1083   0.0636   0.526
0.332   0.1063   0.0641   0.550
0.353   0.1041   0.0641   0.573
0.373   0.1019   0.0642   0.592
0.394   0.0996   0.0643   0.611
0.416   0.0970   0.0642   0.628
0.440   0.0938   0.0639   0.647
0.457   0.0914   0.0635   0.658
0.479   0.0884   0.0630   0.672
0.504   0.0844   0.0621   0.685
0.522   0.0815   0.0613   0.694
0.551   0.0764   0.0597   0.705
0.569   0.0726   0.0581   0.711
0.588   0.0686   0.0564   0.715
0.614   0.0630   0.0538   0.720
0.633   0.0590   0.0518   0.722
0.658   0.0535   0.0487   0.722
0.675   0.0501   0.0468   0.723
0.701   0.0450   0.0439   0.719
0.719   0.0416   0.0422   0.708
0.744   0.0360   0.0388   0.690
0.762   0.0325   0.0366   0.676
0.789   0.0270   0.0329   0.649
0.806   0.0238   0.0307   0.625
0.831   0.0188   0.0272   0.575
0.849   0.0154   0.0246   0.533
0.877   0.0100   0.0205   0.430
