J         CT        CP        eta
0.120105  0.146778  0.113729  0.155008
0.153695  0.144815  0.112076  0.198591
0.184871  0.143804  0.110821  0.239893
0.216011  0.141299  0.108132  0.282268
0.247910  0.139286  0.106314  0.324796
0.280820  0.138754  0.106464  0.365993
0.310358  0.135658  0.104198  0.404059
0.341168  0.134090  0.103231  0.443155
0.373289  0.133505  0.102153  0.487851
0.403440  0.130465  0.101335  0.519414
0.435910  0.127051  0.100810  0.549376
0.467469  0.123049  0.099826  0.576222
0.499091  0.119248  0.099119  0.600444
0.529899  0.114131  0.097311  0.621494
0.561935  0.110543  0.096589  0.643121
0.591555  0.105147  0.094253  0.659926
0.625820  0.098239  0.090879  0.676507
0.657671  0.093805  0.088716  0.695397
0.689244  0.087641  0.085350  0.707746
0.718371  0.081837  0.082184  0.715335
0.751979  0.074674  0.077685  0.722827
0.780329  0.068522  0.073516  0.727316
0.812948  0.062938  0.069914  0.731830
0.842276  0.057595  0.066153  0.733308
0.877791  0.049449  0.059884  0.724828
0.909865  0.042858  0.054711  0.712740
0.940030  0.036621  0.049402  0.696836
0.967329  0.029910  0.043379  0.666976
1.004768  0.023485  0.037692  0.626042
1.035889  0.016544  0.030945  0.553807
1.069484  0.009545  0.023906  0.426989
1.093191  0.003075  0.017197  0.195474
