J       CT       CP       eta
0.107   0.1111   0.1166   0.102
0.135   0.1110   0.1167   0.128
0.161   0.1106   0.1161   0.153
0.190   0.1100   0.1153   0.181
0.218   0.1092   0.1144   0.208
0.249   0.1081   0.1135   0.237
0.277   0.1068   0.1127   0.263
0.307   0.1056   0.1116   0.291
0.338   0.1047   0.1104   0.320
0.366   0.1040   0.1094   0.348
0.394   0.1031   0.1083   0.375
0.421   0.1027   0.1070   0.404
0.449   0.1025   0.1056   0.435
0.480   0.1023   0.1045   0.470
0.503   0.1023   0.1044   0.493
0.531   0.1014   0.1044   0.516
0.561   0.0996   0.1044   0.535
0.671   0.0920   0.1035   0.596
0.698   0.0899   0.1031   0.609
0.731   0.0871   0.1025   0.622
0.757   0.0845   0.1015   0.630
0.787   0.0812   0.1004   0.636
0.820   0.0765   0.0986   0.636
0.847   0.0729   0.0971   0.636
0.874   0.0696   0.0951   0.639
0.897   0.0655   0.0931   0.631
0.934   0.0583   0.0889   0.612
0.957   0.0543   0.0862   0.603
0.989   0.0475   0.0818   0.575
1.014   0.0428   0.0786   0.552
1.047   0.0350   0.0727   0.505
1.071   0.0300   0.0690   0.466
1.102   0.0239   0.0637   0.413
1.125   0.0194   0.0597   0.365
