J         CT        CP        eta
0.044692  0.134825  0.067753  0.088934
0.068566  0.131874  0.067141  0.134673
0.091259  0.128760  0.066391  0.176991
0.113837  0.125432  0.065538  0.217873
0.136105  0.121358  0.064242  0.257114
0.159647  0.117548  0.063323  0.296357
0.182966  0.113205  0.062267  0.332641
0.204585  0.108470  0.060819  0.364876
0.227790  0.104303  0.059612  0.398564
0.250904  0.099381  0.058167  0.428677
0.274941  0.094429  0.056595  0.458741
0.296786  0.091347  0.055932  0.484707
0.319288  0.086153  0.054112  0.508346
0.340043  0.081454  0.052506  0.527522
0.363975  0.076544  0.050940  0.546918
0.387626  0.071341  0.049303  0.560894
0.410839  0.066331  0.047797  0.570152
0.431948  0.060955  0.045945  0.573057
0.456338  0.055170  0.043636  0.576948
0.481354  0.049324  0.041639  0.570184
0.502589  0.043970  0.039616  0.557827
0.525998  0.038520  0.037520  0.540018
0.546386  0.032150  0.034913  0.503135
0.571206  0.026196  0.032783  0.456419
0.593738  0.019346  0.030057  0.382147
0.613455  0.013720  0.027876  0.301910
0.639596  0.006090  0.024764  0.157271
0.662619 -0.000699  0.022054 -0.021000
0.683406 -0.006572  0.019645 -0.228782
0.707485 -0.014478  0.016119 -0.635439
0.732934 -0.022134  0.012866 -1.260944
0.752361 -0.029077  0.009786 -2.235797
0.775967 -0.036850  0.006329 -4.518199
