J       CT       CP       eta
0.096   0.1154   0.0640   0.173
0.123   0.1161   0.0636   0.224
0.144   0.1161   0.0634   0.263
0.168   0.1168   0.0639   0.307
0.192   0.1166   0.0643   0.348
0.217   0.1161   0.0648   0.388
0.243   0.1148   0.0654   0.426
0.267   0.1136   0.0659   0.460
0.290   0.1113   0.0659   0.490
0.316   0.1097   0.0665   0.521
0.338   0.1077   0.0665   0.546
0.365   0.1051   0.0666   0.576
0.387   0.1027   0.0666   0.597
0.409   0.1007   0.0667   0.617
0.433   0.0981   0.0666   0.638
0.457   0.0954   0.0665   0.655
0.481   0.0929   0.0664   0.673
0.505   0.0892   0.0656   0.687
0.529   0.0862   0.0651   0.700
0.550   0.0830   0.0643   0.709
0.573   0.0790   0.0631   0.717
0.595   0.0746   0.0615   0.723
0.630   0.0673   0.0582   0.728
0.650   0.0629   0.0561   0.729
0.671   0.0576   0.0533   0.726
0.698   0.0513   0.0497   0.721
0.721   0.0460   0.0464   0.715
0.747   0.0401   0.0425   0.705
0.768   0.0354   0.0392   0.693
0.796   0.0296   0.0354   0.667
0.814   0.0257   0.0326   0.643
0.837   0.0211   0.0294   0.601
0.868   0.0143   0.0246   0.506
0.885   0.0110   0.0220   0.441
0.912   0.0054   0.0174   0.284
