J       CT       CP       eta
0.105   0.1192   0.1032   0.121
0.134   0.1178   0.1025   0.154
0.161   0.1162   0.1015   0.184
0.191   0.1154   0.1007   0.218
0.220   0.1141   0.0995   0.252
0.252   0.1124   0.0977   0.291
0.282   0.1106   0.0955   0.326
0.310   0.1097   0.0942   0.361
0.339   0.1082   0.0925   0.397
0.366   0.1076   0.0910   0.433
0.401   0.1063   0.0898   0.475
0.429   0.1052   0.0887   0.509
0.459   0.1044   0.0881   0.544
0.489   0.1030   0.0880   0.572
0.511   0.1014   0.0877   0.590
0.542   0.0994   0.0877   0.614
0.574   0.0964   0.0874   0.633
0.606   0.0916   0.0857   0.647
0.633   0.0888   0.0854   0.658
0.658   0.0846   0.0838   0.665
0.687   0.0799   0.0818   0.671
0.724   0.0731   0.0787   0.672
0.748   0.0690   0.0766   0.674
0.780   0.0626   0.0729   0.670
0.805   0.0582   0.0703   0.666
0.836   0.0522   0.0665   0.657
0.867   0.0461   0.0623   0.641
0.884   0.0433   0.0602   0.635
0.929   0.0344   0.0533   0.600
0.956   0.0298   0.0497   0.574
0.983   0.0247   0.0456   0.532
1.017   0.0192   0.0409   0.478
1.043   0.0145   0.0368   0.409
1.070   0.0090   0.0326   0.297
1.103   0.0022   0.0278   0.088
1.127   -0.0023   0.0235   -0.110
1.164   -0.0090   0.0170   -0.621
