J       CT       CP       eta
0.084   0.0882   0.0360   0.206
0.103   0.0863   0.0361   0.245
0.126   0.0837   0.0362   0.291
0.148   0.0810   0.0362   0.332
0.173   0.0775   0.0360   0.372
0.196   0.0740   0.0356   0.407
0.220   0.0700   0.0351   0.439
0.242   0.0664   0.0345   0.465
0.267   0.0615   0.0334   0.492
0.289   0.0577   0.0325   0.512
0.314   0.0525   0.0312   0.529
0.336   0.0485   0.0301   0.541
0.360   0.0438   0.0286   0.550
0.382   0.0397   0.0272   0.556
0.405   0.0350   0.0257   0.552
0.427   0.0313   0.0244   0.548
0.453   0.0268   0.0228   0.532
0.471   0.0235   0.0216   0.511
0.492   0.0198   0.0201   0.485
0.517   0.0151   0.0180   0.435
0.541   0.0107   0.0159   0.363
0.567   0.0057   0.0134   0.240
0.590   0.0015   0.0113   0.078
0.613   -0.0029   0.0089   -0.197
