J       CT       CP       eta
0.100   0.1034   0.0614   0.168
0.129   0.1036   0.0618   0.216
0.151   0.1034   0.0620   0.252
0.179   0.1026   0.0624   0.295
0.205   0.1013   0.0627   0.331
0.234   0.0994   0.0629   0.369
0.260   0.0980   0.0633   0.402
0.287   0.0966   0.0635   0.436
0.311   0.0948   0.0637   0.462
0.340   0.0917   0.0637   0.490
0.365   0.0890   0.0633   0.513
0.392   0.0864   0.0630   0.538
0.418   0.0844   0.0628   0.562
0.445   0.0800   0.0617   0.577
0.471   0.0758   0.0605   0.590
0.495   0.0716   0.0591   0.600
0.517   0.0680   0.0580   0.606
0.519   0.0668   0.0576   0.603
0.543   0.0625   0.0561   0.605
0.578   0.0566   0.0534   0.612
0.599   0.0530   0.0517   0.614
0.622   0.0489   0.0495   0.615
0.651   0.0435   0.0468   0.606
0.676   0.0394   0.0443   0.602
0.703   0.0351   0.0415   0.595
0.737   0.0287   0.0376   0.564
0.759   0.0252   0.0354   0.539
0.789   0.0202   0.0324   0.492
0.809   0.0168   0.0304   0.447
0.840   0.0110   0.0271   0.341
0.864   0.0074   0.0243   0.264
0.890   0.0020   0.0211   0.085
0.914   -0.0023   0.0181   -0.116
0.947   -0.0086   0.0134   -0.611
0.966   -0.0121   0.0107   -1.093
