J       CT       CP       eta
0.094   0.1159   0.0848   0.128
0.123   0.1145   0.0839   0.168
0.149   0.1138   0.0828   0.205
0.182   0.1132   0.0811   0.254
0.205   0.1136   0.0801   0.291
0.232   0.1146   0.0785   0.339
0.258   0.1162   0.0776   0.386
0.283   0.1163   0.0777   0.424
0.316   0.1160   0.0780   0.470
0.342   0.1153   0.0784   0.503
0.372   0.1138   0.0788   0.537
0.398   0.1125   0.0791   0.565
0.425   0.1105   0.0796   0.590
0.452   0.1083   0.0799   0.613
0.480   0.1053   0.0798   0.634
0.506   0.1028   0.0798   0.651
0.534   0.0992   0.0793   0.668
0.558   0.0962   0.0790   0.680
0.580   0.0933   0.0784   0.690
0.605   0.0894   0.0774   0.699
0.637   0.0833   0.0752   0.705
0.660   0.0785   0.0732   0.708
0.696   0.0707   0.0694   0.709
0.719   0.0654   0.0667   0.705
0.749   0.0581   0.0624   0.698
0.771   0.0538   0.0597   0.694
0.805   0.0461   0.0547   0.679
0.823   0.0424   0.0521   0.670
0.859   0.0354   0.0471   0.645
0.876   0.0320   0.0449   0.624
0.910   0.0240   0.0393   0.557
0.939   0.0188   0.0351   0.503
0.967   0.0131   0.0305   0.416
0.994   0.0078   0.0259   0.300
1.022   0.0025   0.0210   0.120
1.048   -0.0024   0.0167   -0.152
1.075   -0.0076   0.0118   -0.689
