J       CT       CP       eta
0.090   0.1128   0.0552   0.185
0.119   0.1117   0.0554   0.240
0.141   0.1106   0.0558   0.280
0.166   0.1092   0.0562   0.322
0.191   0.1075   0.0566   0.364
0.215   0.1059   0.0568   0.401
0.241   0.1041   0.0570   0.441
0.269   0.1019   0.0573   0.479
0.295   0.0995   0.0573   0.512
0.319   0.0966   0.0575   0.537
0.345   0.0939   0.0575   0.564
0.370   0.0906   0.0572   0.585
0.396   0.0868   0.0569   0.604
0.419   0.0830   0.0562   0.619
0.444   0.0785   0.0550   0.633
0.466   0.0742   0.0537   0.645
0.486   0.0704   0.0524   0.652
0.514   0.0638   0.0499   0.656
0.540   0.0585   0.0476   0.664
0.569   0.0522   0.0448   0.664
0.591   0.0477   0.0425   0.665
0.618   0.0418   0.0395   0.656
0.639   0.0379   0.0371   0.652
0.668   0.0323   0.0340   0.636
0.691   0.0284   0.0315   0.622
0.719   0.0227   0.0282   0.578
0.738   0.0191   0.0261   0.541
0.766   0.0136   0.0226   0.459
0.791   0.0091   0.0196   0.368
0.814   0.0048   0.0165   0.234
0.845   -0.0010   0.0125   -0.067
0.868   -0.0054   0.0092   -0.508
