J       CT       CP       eta
0.110   0.0912   0.0707   0.142
0.142   0.0906   0.0696   0.185
0.172   0.0911   0.0690   0.227
0.200   0.0901   0.0677   0.267
0.231   0.0903   0.0670   0.311
0.263   0.0902   0.0671   0.353
0.294   0.0895   0.0673   0.391
0.321   0.0884   0.0673   0.422
0.355   0.0867   0.0676   0.456
0.384   0.0851   0.0677   0.482
0.413   0.0830   0.0675   0.508
0.443   0.0801   0.0667   0.533
0.472   0.0772   0.0661   0.551
0.497   0.0743   0.0654   0.564
0.527   0.0699   0.0636   0.579
0.554   0.0662   0.0621   0.591
0.583   0.0623   0.0606   0.600
0.584   0.0620   0.0601   0.602
0.617   0.0566   0.0576   0.606
0.652   0.0499   0.0547   0.594
0.682   0.0465   0.0528   0.600
0.708   0.0413   0.0496   0.590
0.735   0.0369   0.0471   0.576
0.769   0.0305   0.0433   0.541
0.796   0.0267   0.0407   0.523
0.828   0.0231   0.0379   0.504
0.853   0.0183   0.0347   0.449
0.884   0.0134   0.0316   0.375
0.911   0.0093   0.0285   0.299
0.943   0.0038   0.0243   0.147
0.977   -0.0024   0.0200   -0.119
1.002   -0.0068   0.0166   -0.412
1.035   -0.0128   0.0121   -1.101
